Work Name,Division,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AC,Route Type
Road Widening - Amreli,Amreli,125.50,45320,AA,125.50,45350,D,,,,,,,,,,,,,,,,"Tourist"
Bridge Construction - Bhavnagar,Bhavnagar,250.75,45280,AA,250.75,45310,TS,250.75,45340,D,,,,,,,,,,,,,
Village Road Development - Junagadh,Junagadh,89.25,45200,AA,89.25,45230,TS,89.25,45260,DTP,89.25,45290,,,,,,,,,,
Pravasipath Route - Porbandar,Porbandar,450.00,45100,AA,450.00,45150,TS,450.00,45180,DTP,450.00,45210,45220,45235,Agency A,95,D,,,,,,"Pravasipath"
Rural Road Network - Botad,Botad,175.80,45250,D,,,,,,,,,,,,,,,,,,,
Highway Improvement - Gir Somnath,Gir Somnath,320.50,45150,AA,320.50,45180,TS,320.50,45210,DTP,320.50,45240,45250,45265,Agency B,92,TA,285.75,45300,45315,45330,95% Complete,
Coastal Road - Porbandar,Porbandar,198.60,45180,AA,198.60,45210,TS,198.60,45240,DTP,198.60,45270,45280,,,,C,,,,,
Village Connectivity - Amreli,Amreli,67.40,45300,D,,,,,,,,,,,,,,,,,,,
Tourist Circuit Road - Junagadh,Junagadh,280.90,45120,AA,280.90,45160,TS,280.90,45190,DTP,280.90,45220,45230,45245,Agency C,88,G,,,,,,"Tourist"
District Road Upgradation - Bhavnagar,Bhavnagar,156.20,45290,AA,156.20,45320,C,,,,,,,,,,,,,,,
Cement Concrete Road - Botad,Botad,234.75,45260,AA,234.75,45290,TS,234.75,45320,C,,,,,,,,,,,,,
Major Bridge Project - Amreli,Amreli,567.80,45100,AA,567.80,45140,TS,567.80,45170,DTP,567.80,45200,45210,45225,Agency D,90,TA,520.50,45260,45275,,Working - 80%,
Rural Connectivity - Gir Somnath,Gir Somnath,95.30,45310,D,,,,,,,,,,,,,,,,,,,
Bypass Road - Bhavnagar,Bhavnagar,412.60,45140,AA,412.60,45170,TS,412.60,45200,DTP,412.60,45230,45240,,,,G,,,,,
Village Link Road - Junagadh,Junagadh,78.90,45280,AA,78.90,45310,TS,78.90,45340,G,,,,,,,,,,,,,
