Work Name,Division,H,I,J,AA Date,M,P,S,T,U,V,W,Y,Z,AA,AC,Route Type
Road Widening - Amreli Main Road,Amreli,125.50,45320,G,45350,TS,DTP,,45400,45410,45420,G,45390,,,,"Tourist"
Bridge Construction - Bhavnagar District,Bhavnagar,250.75,45280,C,45310,TS,C,,,,,C,45340,,,,
Village Road Development - Junagadh,Junagadh,89.25,45200,D,45230,C,,,,,,,,,,,
Pravasipath Route - Porbandar to Somnath,Porbandar,450.00,45100,G,45150,TS,DTP,45380,45220,45235,45250,D,45260,,,,"Pravasipath"
Rural Road Network - Botad,Botad,175.80,45250,D,,,,,,,,,,,,,
Highway Improvement - Gir Somnath,Gir Somnath,320.50,45150,G,45180,TS,DTP,45350,45365,,,TA,285.75,45375,45385,95% Complete,
Coastal Road - Porbandar,Porbandar,198.60,45180,C,45210,TS,G,,,,,G,45220,,,,
Village Connectivity - Amreli,Amreli,67.40,45300,D,,,,,,,,,,,,,
Tourist Circuit Road - Junagadh,Junagadh,280.90,45120,G,45160,TS,DTP,45340,45220,45235,,G,45180,,,,"Tourist"
District Road Upgradation - Bhavnagar,Bhavnagar,156.20,45290,C,45320,C,,,,,,,,,,,
Cement Concrete Road - Botad,Botad,234.75,45260,D,45290,TS,D,,,,,D,45295,,,,
Major Bridge Project - Amreli,Amreli,567.80,45100,G,45140,TS,DTP,45330,45215,45230,45245,TA,520.50,45360,45370,Working - 80%,
Rural Connectivity - Gir Somnath,Gir Somnath,95.30,45310,D,,,,,,,,,,,,,
Bypass Road - Bhavnagar,Bhavnagar,412.60,45140,C,45170,TS,DTP,45360,45240,,,C,45180,,,,
Village Link Road - Junagadh,Junagadh,78.90,45280,G,45310,TS,G,,,,,G,45090,,,,
